[r2] 0/36 units already journalled, 36 remaining, budget 420s
  [16/36] softmax_broken/s512 -> {'frac_det': 0.47277368288917204, 'frac_det_exact': 0.47277368288917204, 'frac_det_naive': 0.779296875, 'det_sd': 0.09194186640731762, 'disagree': 0, 'n_draws': 32, 'pivots': 8.0, 'coh_pivot': 1.0, 'null_pivot': 0.9961448491266673, 'n_terms_pivot': 6.25, 'coh_dense': 1.0, 'null_dense': 0.8935413202989317, 'n_terms_dense': 382.0} (5s)
  [17/36] softmax_broken/s1024 -> {'frac_det': 0.46431305962555963, 'frac_det_exact': 0.46431305962555963, 'frac_det_naive': 0.77392578125, 'det_sd': 0.1047672670765676, 'disagree': 0, 'n_draws': 32, 'pivots': 8.0, 'coh_pivot': 1.0, 'null_pivot': 0.9857727480782136, 'n_terms_pivot': 6.53125, 'coh_dense': 1.0, 'null_dense': 0.9200772941978494, 'n_terms_dense': 766.0} (6s)
  [18/36] softmax_broken/s2048 -> {'frac_det': 0.5220254042375753, 'frac_det_exact': 0.5220254042375753, 'frac_det_naive': 0.8046875, 'det_sd': 0.10852839577039448, 'disagree': 0, 'n_draws': 32, 'pivots': 8.0, 'coh_pivot': 1.0, 'null_pivot': 0.9768314549926975, 'n_terms_pivot': 5.96875, 'coh_dense': 1.0, 'null_dense': 0.8897666769243779, 'n_terms_dense': 1534.0} (8s)
  [19/36] deltanet/s8 -> {'frac_det': 0.4541666666666666, 'frac_det_exact': 0.4541666666666666, 'frac_det_naive': 0.7725694444444444, 'det_sd': 0.08068715304598785, 'disagree': 0, 'n_draws': 32, 'pivots': 6.0, 'coh_pivot': 0.5932186326140184, 'null_pivot': 0.7005595523762511, 'n_terms_pivot': 4.0, 'coh_dense': 0.5932186326140184, 'null_dense': 0.7115482814012584, 'n_terms_dense': 4.0} (2s)
  [20/36] deltanet/s32 -> {'frac_det': 0.3303571428571429, 'frac_det_exact': 0.3303571428571429, 'frac_det_naive': 0.70703125, 'det_sd': 0.051290737915518116, 'disagree': 0, 'n_draws': 32, 'pivots': 8.0, 'coh_pivot': 0.45585741554006753, 'null_pivot': 0.6061792247066635, 'n_terms_pivot': 6.0, 'coh_dense': 0.20767757498621564, 'null_dense': 0.3063812486870614, 'n_terms_dense': 22.0} (5s)
  [21/36] deltanet/s128 -> {'frac_det': 0.3314732142857143, 'frac_det_exact': 0.3314732142857143, 'frac_det_naive': 0.70751953125, 'det_sd': 0.05592620453735513, 'disagree': 0, 'n_draws': 32, 'pivots': 8.0, 'coh_pivot': 0.5086292031153141, 'null_pivot': 0.5870712948485626, 'n_terms_pivot': 5.875, 'coh_dense': 0.347296294339116, 'null_dense': 0.143853949778047, 'n_terms_dense': 94.0} (5s)
  [22/36] deltanet/s512 -> {'frac_det': 0.3214285714285714, 'frac_det_exact': 0.3214285714285714, 'frac_det_naive': 0.703125, 'det_sd': 0.054310379734805535, 'disagree': 0, 'n_draws': 32, 'pivots': 8.0, 'coh_pivot': 0.42068321023933386, 'null_pivot': 0.5404638950563938, 'n_terms_pivot': 5.625, 'coh_dense': 0.4317172280541742, 'null_dense': 0.06937285184421756, 'n_terms_dense': 382.0} (6s)
  [23/36] deltanet/s1024 -> {'frac_det': 0.3046875, 'frac_det_exact': 0.3046875, 'frac_det_naive': 0.69580078125, 'det_sd': 0.03890273450431558, 'disagree': 0, 'n_draws': 32, 'pivots': 8.0, 'coh_pivot': 0.4951638305022626, 'null_pivot': 0.5974985368234701, 'n_terms_pivot': 5.75, 'coh_dense': 0.4598726088437952, 'null_dense': 0.04982312126617505, 'n_terms_dense': 766.0} (6s)
  [24/36] deltanet/s2048 -> {'frac_det': 0.2979910714285714, 'frac_det_exact': 0.2979910714285714, 'frac_det_naive': 0.69287109375, 'det_sd': 0.03953792317838918, 'disagree': 0, 'n_draws': 32, 'pivots': 8.0, 'coh_pivot': 0.41558905765798765, 'null_pivot': 0.5263447580689247, 'n_terms_pivot': 5.875, 'coh_dense': 0.4384261239676465, 'null_dense': 0.032646576354585455, 'n_terms_dense': 1534.0} (12s)
  [25/36] sgate/s8 -> {'frac_det': 0.4708333333333333, 'frac_det_exact': 0.4708333333333333, 'frac_det_naive': 0.779513888888889, 'det_sd': 0.09119195261766369, 'disagree': 0, 'n_draws': 32, 'pivots': 6.0, 'coh_pivot': 0.91817115149765, 'null_pivot': 0.9034896848075045, 'n_terms_pivot': 4.0, 'coh_dense': 0.91817115149765, 'null_dense': 0.9090136783647395, 'n_terms_dense': 4.0} (3s)
  [26/36] sgate/s32 -> {'frac_det': 0.38616071428571425, 'frac_det_exact': 0.38616071428571425, 'frac_det_naive': 0.7314453125, 'det_sd': 0.07651400223661879, 'disagree': 0, 'n_draws': 32, 'pivots': 8.0, 'coh_pivot': 0.9768619032999745, 'null_pivot': 0.9702157242531713, 'n_terms_pivot': 6.0625, 'coh_dense': 0.9486887876357111, 'null_dense': 0.888341161102199, 'n_terms_dense': 22.0} (5s)
